#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
56330	9931830	5152844	42	0	382	39014	0
56331	9931830	5152843	35	0	382	39010	0
56332	9931828	5152843	33	0	382	39016	0
56333	9931828	5152844	50	0	382	39013	0
56334	9931830	5152844	38	0	382	39023	0
56335	9931830	5152844	50	0	382	39008	0
56336	9931828	5152844	37	0	382	39008	0
56337	9931828	5152844	55	0	382	39012	0
56338	9931827	5152844	64	0	382	39013	0
56339	9931825	5152844	55	0	382	39012	0
56340	9931827	5152844	114	0	381	39017	0
56341	9931822	5152844	120	0	381	39015	0
56342	9931818	5152844	125	0	381	39018	0
56343	9931808	5152844	129	0	381	39021	0
56344	9931807	5152844	137	0	381	39025	0
56345	9931807	5152844	129	0	381	39023	0
56346	9931802	5152844	129	0	381	39021	0
56347	9931798	5152844	124	0	381	39020	0
56348	9931795	5152844	90	0	381	39025	0
56349	9931788	5152844	81	0	381	39025	0
56350	9931782	5152844	33	0	381	39020	0
56351	9931773	5152844	111	0	380	39025	0
56352	9931765	5152844	164	0	380	39032	0
56353	9931760	5152844	122	0	380	39033	0
56354	9931757	5152844	46	0	380	39032	0
56355	9931751	5152844	33	0	380	39042	0
56356	9931746	5152844	35	0	380	39038	0
56357	9931746	5152844	83	0	379	39037	0
56358	9931746	5152844	87	0	379	39043	0
56359	9931746	5152844	107	0	379	39043	0
56360	9931750	5152844	172	0	379	39042	0
56361	9931750	5152845	209	0	379	39041	0
56362	9931757	5152845	211	0	379	39037	0
56363	9931764	5152845	203	0	379	39044	0
56364	9931790	5152845	203	0	379	39040	0
56365	9931798	5152845	194	0	379	39037	0
56366	9931811	5152845	203	0	379	39045	0
56367	9931824	5152846	166	176	379	39041	0
56368	9931830	5152846	164	176	379	39044	0
56369	9931844	5152846	129	176	379	39045	0
56370	9931850	5152846	124	0	378	39048	0
56371	9931865	5152847	127	502	378	39050	0
56372	9931875	5152847	190	648	378	39057	0
56373	9931891	5152847	303	778	378	39053	0
56374	9931907	5152849	375	655	377	39057	0
56375	9931927	5152849	448	901	377	39060	0
56376	9931955	5152850	522	1132	377	39058	0
56377	9931987	5152852	614	1286	376	39070	0
56378	9932016	5152854	753	1317	376	39075	0
56379	9932047	5152856	877	1383	375	39077	0
56380	9932096	5152859	1185	1440	375	39077	0
56381	9932130	5152862	1155	1271	375	39088	0
56382	9932154	5152865	1168	1428	375	39082	0
56383	9932178	5152867	1170	1550	374	39091	0
56384	9932217	5152871	1276	1571	374	39098	0
56385	9932257	5152873	1264	1174	373	39102	0
56386	9932299	5152878	1539	1375	373	39112	0
56387	9932340	5152883	1529	1375	372	39117	0
56388	9932372	5152887	1376	1375	372	39114	0
