#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
58725	9946140	5155796	66	0	317	39458	0
58726	9946141	5155796	87	0	317	39465	0
58727	9946141	5155796	59	0	317	39466	0
58728	9946141	5155795	61	0	317	39466	0
58729	9946143	5155795	83	0	317	39466	0
58730	9946147	5155796	81	0	317	39466	0
58731	9946148	5155796	72	0	317	39469	0
58732	9946152	5155796	77	0	317	39465	0
58733	9946154	5155796	98	0	317	39463	0
58734	9946155	5155796	127	0	317	39467	0
58735	9946154	5155797	129	0	317	39463	0
58736	9946152	5155798	77	0	317	39461	0
58737	9946150	5155799	66	0	317	39463	0
58738	9946145	5155800	62	0	317	39461	0
58739	9946140	5155801	57	0	317	39457	0
58740	9946138	5155802	35	0	317	39457	0
58741	9946138	5155802	33	0	317	39457	0
58742	9946138	5155802	31	0	317	39457	0
58743	9946138	5155802	62	0	317	39456	0
58744	9946140	5155802	88	0	317	39456	0
58745	9946140	5155802	98	0	317	39451	0
58746	9946141	5155802	83	0	317	39451	0
58747	9946143	5155802	70	0	317	39454	0
58748	9946141	5155803	70	0	317	39452	0
58749	9946140	5155803	55	0	317	39448	0
58750	9946138	5155803	50	0	317	39452	0
58751	9946135	5155803	81	0	317	39449	0
58752	9946132	5155803	62	0	317	39452	0
58753	9946130	5155803	50	0	317	39455	0
58754	9946130	5155803	51	0	317	39458	0
58755	9946130	5155803	75	0	317	39457	0
58756	9946130	5155803	87	0	317	39452	0
58757	9946132	5155804	85	0	317	39449	0
58758	9946132	5155804	87	0	317	39449	0
58759	9946134	5155804	79	0	317	39454	0
58760	9946135	5155805	74	0	317	39455	0
58761	9946135	5155805	74	0	317	39453	0
58762	9946135	5155805	75	0	317	39445	0
58763	9946135	5155805	75	0	318	39456	0
58764	9946135	5155805	59	0	318	39451	0
58765	9946134	5155805	59	0	317	39453	0
58766	9946132	5155805	46	0	318	39456	0
58767	9946130	5155806	35	0	318	39451	0
58768	9946129	5155806	94	0	318	39460	0
58769	9946125	5155805	125	0	318	39455	0
58770	9946123	5155805	88	0	317	39444	0
58771	9946122	5155806	38	0	318	39450	0
58772	9946123	5155806	29	0	318	39450	0
58773	9946129	5155806	29	0	318	39451	0
