#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
49037	9943173	5155713	2092	2014	388	38511	0
49038	9943135	5155708	2183	2009	388	38523	0
49039	9943095	5155703	2185	2218	388	38524	0
49040	9943060	5155698	2196	2412	388	38518	0
49041	9943020	5155693	2164	2439	388	38508	0
49042	9942982	5155687	2064	2463	388	38537	0
49043	9942924	5155683	2126	2474	388	38518	0
49044	9942872	5155678	2179	2474	388	38541	0
49045	9942823	5155673	2177	2468	388	38539	0
49046	9942779	5155668	2242	2469	388	38526	0
49047	9942739	5155663	2248	2171	388	38539	0
49048	9942692	5155657	2263	2302	387	38537	0
49049	9942641	5155653	2087	2497	387	38529	0
49050	9942601	5155647	2294	2527	387	38540	0
49051	9942563	5155641	2326	2521	387	38508	0
49052	9942530	5155634	2361	2472	387	38539	0
49053	9942496	5155628	2420	2410	387	38553	0
49054	9942463	5155623	2507	2332	387	38539	0
49055	9942427	5155617	2385	2350	387	38549	0
49056	9942390	5155611	2290	2406	387	38567	0
49057	9942353	5155605	2279	2463	387	38533	0
49058	9942317	5155600	2316	2321	387	38533	0
49059	9942280	5155594	2346	2437	387	38567	0
49060	9942280	5155594	2346	2447	386	38549	0
49061	9942218	5155583	2389	2450	386	38562	0
49062	9942183	5155577	2392	2434	386	38557	0
49063	9942148	5155571	2496	2461	386	38551	0
49064	9942112	5155565	2309	2463	386	38569	0
49065	9942074	5155560	2324	2420	386	38545	0
49066	9942037	5155555	2365	2443	386	38550	0
49067	9941998	5155549	2600	2501	386	38555	0
49068	9941960	5155543	2548	2350	386	38545	0
49069	9941925	5155537	2481	2504	386	38545	0
49070	9941887	5155531	2392	2533	385	38564	0
49071	9941852	5155526	2224	2553	385	38567	0
49072	9941813	5155520	2296	2588	385	38567	0
49073	9941767	5155514	2340	2440	385	38549	0
49074	9941725	5155509	2353	2576	385	38576	0
49075	9941725	5155509	2353	2587	385	38568	0
49076	9941637	5155498	2442	2456	385	38578	0
49077	9941595	5155493	2437	2583	385	38565	0
49078	9941555	5155487	2390	2575	385	38591	0
49079	9941519	5155481	2389	2579	385	38587	0
49080	9941485	5155475	2400	2417	384	38582	0
49081	9941450	5155469	2413	2562	384	38576	0
49082	9941412	5155463	2652	2573	384	38596	0
49083	9941368	5155457	2659	2581	384	38582	0
49084	9941325	5155451	2600	2428	384	38628	0
49085	9941287	5155445	2453	2547	384	38620	0
49086	9941245	5155439	2450	2551	384	38601	0
49087	9941201	5155434	2281	2616	384	38599	0
49088	9941160	5155428	2357	2649	384	38605	0
49089	9941115	5155422	2418	2617	384	38606	0
49090	9941075	5155416	2416	2581	383	38617	0
49091	9941040	5155410	2459	2393	383	38625	0
49092	9941005	5155404	2402	2530	383	38623	0
49093	9940977	5155398	2405	2519	383	38621	0
49094	9940944	5155392	2394	2471	383	38633	0
49095	9940904	5155386	2353	2451	383	38636	0
49096	9940862	5155381	2383	2435	383	38646	0
49097	9940813	5155375	2374	2128	383	38638	0
49098	9940762	5155370	2313	1991	382	38646	0
49099	9940719	5155365	2322	1813	382	38654	0
49100	9940677	5155361	2042	1869	382	38663	0
49101	9940640	5155356	1835	1775	382	38664	0
49102	9940610	5155352	1753	1564	382	38658	0
49103	9940575	5155348	1748	1871	382	38679	0
49104	9940535	5155343	1883	2096	382	38681	0
49105	9940494	5155338	1889	2225	382	38688	0
49106	9940454	5155333	1994	2325	382	38676	0
49107	9940410	5155329	2135	2381	382	38660	0
49108	9940363	5155324	2257	2436	382	38677	0
49109	9940316	5155319	2303	2491	381	38680	0
49110	9940316	5155319	2303	2532	381	38682	0
49111	9940225	5155308	2324	2560	381	38682	0
49112	9940177	5155302	2416	2428	381	38664	0
49113	9940130	5155297	2342	2570	381	38686	0
49114	9940088	5155291	2509	2587	381	38677	0
49115	9940040	5155285	2570	2589	381	38705	0
49116	9939992	5155279	2524	2443	381	38689	0
49117	9939939	5155274	2605	2586	381	38704	0
49118	9939888	5155268	2596	2598	380	38685	0
49119	9939837	5155262	2379	2424	380	38718	0
49120	9939787	5155256	2383	2569	380	38677	0
49121	9939735	5155251	2479	2568	380	38707	0
49122	9939682	5155246	2370	2562	380	38691	0
49123	9939635	5155241	2357	2398	380	38710	0
49124	9939589	5155235	2370	2550	380	38718	0
49125	9939551	5155229	2376	2619	380	38737	0
49126	9939510	5155223	2503	2672	380	38715	0
49127	9939471	5155216	2627	2503	379	38729	0
49128	9939432	5155210	2526	2646	379	38720	0
49129	9939397	5155204	2537	2679	379	38742	0
49130	9939362	5155197	2846	2687	379	38732	0
49131	9939326	5155190	2729	2675	379	38730	0
49132	9939293	5155183	2726	2501	379	38724	0
49133	9939257	5155177	2490	2637	379	38733	0
49134	9939217	5155170	2485	2661	379	38740	0
49135	9939188	5155164	2474	2677	378	38732	0
49136	9939158	5155157	2531	2681	378	38761	0
49137	9939130	5155151	2411	2521	378	38758	0
49138	9939098	5155145	2424	2684	378	38758	0
49139	9939072	5155138	2365	2686	378	38746	0
49140	9939047	5155132	2492	2660	378	38752	0
49141	9939025	5155126	2433	2639	378	38781	0
49142	9939003	5155119	2383	2655	378	38757	0
49143	9938980	5155113	2479	2623	377	38767	0
49144	9938960	5155107	2422	2602	377	38760	0
49145	9938943	5155101	2387	2573	377	38761	0
49146	9938922	5155094	2426	2358	377	38765	0
49147	9938900	5155088	2507	2459	377	38765	0
49148	9938882	5155082	2411	2459	377	38781	0
49149	9938867	5155076	2252	2422	377	38787	0
49150	9938853	5155069	2331	2366	377	38791	0
49151	9938837	5155063	2250	2315	377	38792	0
49152	9938824	5155058	2176	2246	376	38800	0
49153	9938810	5155052	1961	1681	376	38795	0
49154	9938797	5155048	1564	1579	376	38808	0
49155	9938790	5155044	1303	1579	376	38811	0
49156	9938785	5155042	938	1579	376	38813	0
49157	9938762	5155040	33	0	376	38814	0
49158	9938751	5155040	1	0	376	38814	0
49159	9938745	5155040	1	0	376	38808	0
49160	9938742	5155040	3	0	376	38812	0
49161	9938742	5155040	1	0	376	38817	0
49162	9938740	5155040	0	0	376	38816	0
49163	9938740	5155040	0	753	375	38810	0
49164	9938740	5155040	0	800	375	38816	0
49165	9938740	5155040	0	960	375	38814	0
49166	9938739	5155039	40	1136	375	38803	0
49167	9938733	5155037	1113	1303	375	38823	0
49168	9938725	5155033	1403	1709	375	38828	0
49169	9938720	5155029	1537	1632	375	38826	0
49170	9938718	5155024	1751	1876	375	38820	0
49171	9938715	5155020	1692	1851	375	38825	0
49172	9938715	5155016	1748	1840	375	38826	0
49173	9938718	5155011	1905	1850	375	38823	0
49174	9938726	5155006	1792	1951	375	38831	0
49175	9938739	5155001	1803	1999	375	38835	0
49176	9938745	5154995	2003	2050	374	38828	0
49177	9938750	5154989	2016	2060	374	38828	0
49178	9938758	5154983	1972	1834	374	38833	0
49179	9938771	5154978	1870	2126	374	38833	0
49180	9938787	5154974	1794	2234	374	38833	0
49181	9938800	5154969	1922	2288	374	38827	0
49182	9938810	5154963	2076	2302	374	38833	0
49183	9938820	5154957	2172	2310	374	38846	0
49184	9938833	5154951	2248	2022	374	38844	0
49185	9938845	5154946	2176	1949	374	38836	0
49186	9938857	5154940	2166	2289	374	38833	0
49187	9938871	5154934	2157	2353	373	38837	0
49188	9938889	5154928	2114	2351	373	38855	0
49189	9938902	5154923	2187	2410	373	38846	0
49190	9938916	5154917	2277	2426	373	38849	0
49191	9938931	5154911	2289	2144	373	38856	0
49192	9938938	5154904	2461	2065	373	38843	0
49193	9938942	5154898	2298	2232	373	38840	0
49194	9938951	5154892	2087	2407	373	38858	0
49195	9938960	5154886	2168	2440	373	38853	0
49196	9938962	5154880	2027	2439	372	38861	0
49197	9938972	5154874	2144	2428	372	38855	0
49198	9938970	5154868	2087	2423	372	38851	0
49199	9938976	5154863	2090	2388	372	38860	0
49200	9938982	5154857	2144	2386	372	38857	0
49201	9938987	5154851	2150	2381	372	38862	0
49202	9938992	5154845	2220	2333	372	38850	0
49203	9938996	5154839	2116	2297	372	38846	0
49204	9939000	5154834	1970	2258	372	38862	0
49205	9939005	5154828	2046	2211	372	38868	0
49206	9939012	5154823	2102	1903	371	38861	0
49207	9939020	5154818	2009	2070	371	38874	0
49208	9939035	5154813	1898	2063	371	38874	0
49209	9939054	5154808	1939	1754	371	38874	0
49210	9939074	5154802	1933	1862	371	38882	0
49211	9939094	5154798	1726	1863	371	38883	0
49212	9939116	5154795	1489	1268	371	38877	0
49213	9939135	5154793	1129	1230	371	38881	0
49214	9939134	5154789	966	1219	371	38883	0
49215	9939138	5154786	926	1408	371	38882	0
49216	9939148	5154781	1490	1625	371	38882	0
49217	9939154	5154777	1490	1780	371	38888	0
49218	9939161	5154772	1714	1925	371	38886	0
49219	9939168	5154767	1744	1978	371	38889	0
49220	9939180	5154762	1777	2043	370	38891	0
49221	9939198	5154757	1889	2083	370	38894	0
49222	9939223	5154751	1977	2114	370	38887	0
49223	9939245	5154746	1983	2098	370	38886	0
49224	9939268	5154741	2172	2092	370	38894	0
49225	9939290	5154736	2170	2114	370	38891	0
49226	9939312	5154730	2094	2094	370	38898	0
49227	9939333	5154725	2016	1811	370	38900	0
49228	9939353	5154720	2013	2057	370	38894	0
49229	9939366	5154716	1826	2099	370	38894	0
49230	9939377	5154712	1772	1871	370	38917	0
49231	9939388	5154707	1837	2089	370	38904	0
49232	9939408	5154703	1887	2147	370	38903	0
49233	9939432	5154696	2063	2160	369	38887	0
49234	9939451	5154691	2074	2211	369	38892	0
49235	9939464	5154688	1903	2247	369	38905	0
49236	9939475	5154683	1840	2251	369	38901	0
49237	9939498	5154678	1976	2222	369	38907	0
49238	9939515	5154674	1903	1921	369	38918	0
49239	9939538	5154669	2000	2149	369	38920	0
49240	9939571	5154662	2281	2177	369	38919	0
49241	9939587	5154658	2166	2222	369	38911	0
49242	9939607	5154653	2096	2221	369	38913	0
49243	9939625	5154648	1944	1894	368	38908	0
49244	9939649	5154642	1974	2051	368	38914	0
49245	9939683	5154635	2092	2034	368	38935	0
49246	9939710	5154629	2194	2014	368	38921	0
49247	9939725	5154624	2107	2050	368	38924	0
49248	9939745	5154618	2026	1860	368	38930	0
49249	9939760	5154612	2031	2164	368	38932	0
49250	9939772	5154608	2079	2174	368	38925	0
49251	9939792	5154602	2089	2208	368	38932	0
49252	9939828	5154595	2207	1951	368	38921	0
49253	9939855	5154590	2098	2221	368	38932	0
49254	9939880	5154585	2416	2269	368	38933	0
49255	9939900	5154579	2263	2303	367	38942	0
49256	9939921	5154573	2224	2289	367	38943	0
49257	9939940	5154565	2446	2280	367	38930	0
49258	9939959	5154561	2214	2292	367	38949	0
49259	9939981	5154555	2144	1957	367	38943	0
49260	9940013	5154550	2176	2100	367	38949	0
49261	9940043	5154545	2055	1985	367	38942	0
49262	9940085	5154540	1979	1646	367	38955	0
49263	9940110	5154537	1831	1808	367	38948	0
49264	9940135	5154531	1753	1896	367	38950	0
49265	9940158	5154527	1829	1721	367	38929	0
49266	9940180	5154522	1829	1929	367	38941	0
49267	9940200	5154518	1827	1696	366	38948	0
49268	9940218	5154514	1889	1834	366	38949	0
49269	9940242	5154512	1770	1837	366	38956	0
49270	9940265	5154508	1768	1767	366	38965	0
49271	9940285	5154504	1629	1256	366	38963	0
49272	9940305	5154501	1455	1229	366	38969	0
49273	9940325	5154498	1157	1133	366	38960	0
49274	9940340	5154497	814	952	366	38964	0
49275	9940353	5154495	657	762	366	38967	0
49276	9940358	5154494	585	762	366	38970	0
49277	9940365	5154492	485	642	366	38969	0
49278	9940370	5154491	483	592	366	38967	0
49279	9940375	5154490	433	592	366	38970	0
49280	9940378	5154489	390	592	366	38970	0
49281	9940376	5154488	288	0	366	38975	0
49282	9940375	5154487	170	0	366	38973	0
49283	9940372	5154487	31	0	366	38973	0
49284	9940369	5154487	114	0	366	38977	0
49285	9940370	5154488	88	0	365	38976	0
49286	9940370	5154488	0	0	365	38978	0
49287	9940370	5154488	0	0	365	38981	0
49288	9940370	5154488	0	0	365	38980	0
49289	9940370	5154488	0	0	365	38975	0
49290	9940370	5154488	0	0	365	38982	0
49291	9940370	5154488	0	0	365	38985	0
49292	9940372	5154488	0	0	365	38985	0
49293	9940372	5154488	0	0	365	38985	0
49294	9940372	5154488	0	0	365	38993	0
49295	9940372	5154488	0	0	365	38990	0
49296	9940372	5154488	0	0	365	38991	0
49297	9940372	5154488	0	0	365	38987	0
49298	9940369	5154489	0	0	365	38990	0
49299	9940369	5154489	0	0	365	38990	0
49300	9940365	5154490	133	0	365	38988	0
49301	9940365	5154490	185	0	365	38995	0
49302	9940362	5154490	188	0	365	38995	0
49303	9940360	5154490	90	0	364	38989	0
49304	9940356	5154490	103	0	364	38987	0
49305	9940347	5154490	109	0	364	38995	0
49306	9940342	5154489	288	740	364	38994	0
49307	9940335	5154487	485	802	364	38998	0
49308	9940331	5154485	787	896	364	38990	0
49309	9940347	5154480	892	665	364	38991	0
49310	9940360	5154476	985	819	364	39003	0
49311	9940372	5154473	992	933	364	38994	0
49312	9940387	5154469	1170	1127	364	38994	0
49313	9940402	5154466	1177	1201	364	39000	0
49314	9940410	5154463	1037	1311	364	39001	0
49315	9940412	5154460	1148	1291	364	39005	0
49316	9940412	5154456	1364	1300	364	38999	0
49317	9940413	5154452	1309	1380	364	38995	0
49318	9940422	5154449	1168	1424	364	38996	0
49319	9940435	5154445	1346	1084	364	38994	0
49320	9940445	5154442	1414	1249	364	39001	0
49321	9940456	5154438	1490	1491	364	39001	0
49322	9940470	5154434	1681	1622	364	39004	0
49323	9940483	5154430	1677	1653	363	39003	0
49324	9940501	5154426	1590	1643	363	38988	0
49325	9940512	5154423	1390	1653	363	39000	0
49326	9940518	5154419	1424	1634	363	38982	0
49327	9940527	5154416	1272	1375	363	38995	0
49328	9940534	5154414	1157	1528	363	38995	0
49329	9940535	5154411	1101	1617	363	38991	0
49330	9940547	5154407	1353	1779	363	38998	0
49331	9940558	5154403	1411	1706	363	38995	0
49332	9940567	5154399	1627	2122	363	38994	0
49333	9940577	5154393	1787	2299	363	38987	0
49334	9940594	5154388	1800	2343	363	38981	0
49335	9940610	5154383	1952	2341	363	38989	0
49336	9940628	5154378	2002	2324	363	38999	0
49337	9940647	5154373	1909	2305	362	38993	0
49338	9940663	5154368	1842	1968	362	38983	0
49339	9940681	5154364	1674	2165	362	38990	0
49340	9940699	5154360	1744	2089	362	39000	0
49341	9940722	5154354	1757	2046	362	38995	0
49342	9940759	5154348	1839	2027	362	38993	0
49343	9940793	5154343	1911	1982	362	38999	0
49344	9940825	5154338	1903	1913	362	39005	0
49345	9940851	5154333	1955	1882	362	38995	0
49346	9940871	5154329	1842	1861	362	38982	0
49347	9940888	5154324	1716	1869	362	38983	0
49348	9940902	5154320	1789	1836	362	38998	0
49349	9940907	5154316	1607	1810	362	38990	0
49350	9940920	5154312	1481	1813	361	38985	0
49351	9940920	5154308	1527	1616	361	38993	0
49352	9940933	5154304	1535	1804	361	38995	0
49353	9940957	5154299	1661	1853	361	38989	0
49354	9940969	5154294	1696	1650	361	38998	0
49355	9940985	5154290	1694	1869	361	38990	0
49356	9941005	5154284	1731	1883	361	38986	0
49357	9941025	5154280	1724	1902	361	38991	0
49358	9941031	5154276	1589	1977	361	38998	0
49359	9941043	5154271	1618	1982	361	38995	0
49360	9941051	5154267	1626	1937	361	38987	0
49361	9941072	5154262	1981	1908	361	38983	0
49362	9941089	5154257	1898	1918	361	38988	0
49363	9941115	5154250	2048	1700	361	38991	0
49364	9941143	5154244	2046	1883	361	38999	0
49365	9941165	5154239	2044	1870	361	38998	0
49366	9941187	5154235	1761	1871	360	38993	0
49367	9941205	5154232	1542	1875	360	38980	0
49368	9941216	5154230	1183	1890	360	38988	0
49369	9941214	5154227	1081	1878	360	38998	0
49370	9941228	5154223	1179	1864	360	38999	0
49371	9941258	5154219	1383	1616	360	38978	0
49372	9941280	5154215	1207	1780	360	38975	0
49373	9941287	5154212	1255	1809	360	38995	0
49374	9941305	5154207	1446	1813	360	39000	0
49375	9941321	5154202	1539	1818	360	38994	0
49376	9941339	5154198	1551	1822	360	38996	0
49377	9941361	5154193	1783	1961	360	39004	0
49378	9941386	5154187	2202	2033	360	39001	0
49379	9941403	5154182	2153	2101	360	39002	0
49380	9941425	5154176	2155	2108	360	38995	0
49381	9941445	5154171	2013	2024	360	39002	0
49382	9941465	5154166	1970	2003	359	39004	0
49383	9941483	5154160	1920	2030	359	39005	0
49384	9941504	5154154	1968	2065	359	38999	0
49385	9941519	5154151	1570	2023	359	39005	0
49386	9941533	5154147	1555	1906	359	39005	0
49387	9941553	5154143	1550	1926	359	39008	0
49388	9941579	5154138	1579	1980	359	38995	0
49389	9941602	5154133	1694	1984	359	38992	0
49390	9941624	5154129	1705	2035	359	38995	0
49391	9941645	5154124	1820	2071	359	39001	0
49392	9941665	5154119	1776	2122	359	39007	0
49393	9941685	5154114	1890	2192	359	39011	0
49394	9941698	5154109	1898	2199	359	39007	0
49395	9941715	5154105	1894	2191	358	39012	0
49396	9941733	5154101	1716	2142	358	39006	0
49397	9941756	5154099	1522	2113	358	39010	0
49398	9941778	5154097	1479	2124	358	39021	0
49399	9941802	5154094	1483	1852	358	39017	0
49400	9941815	5154091	1577	2032	358	39016	0
49401	9941818	5154087	1666	2025	358	39029	0
49402	9941822	5154083	1570	2078	358	39029	0
49403	9941838	5154078	1535	2077	358	39031	0
49404	9941883	5154071	1405	1815	358	39026	0
49405	9941916	5154065	1572	1943	358	39029	0
