#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31304	9942595	5155633	2468	2622	178	100408	-993
31305	9942556	5155626	2457	2622	177	100401	-987
31306	9942521	5155620	2465	2457	177	100403	-989
31307	9942483	5155613	2309	2594	176	100407	-992
31308	9942440	5155607	2390	2602	176	100407	-992
31309	9942397	5155600	2400	2436	175	100407	-992
31310	9942354	5155594	2468	2575	174	100407	-992
31311	9942310	5155588	2553	2576	174	100411	-995
31312	9942268	5155583	2561	2258	173	100409	-994
31313	9942226	5155576	2500	2358	173	100411	-995
31314	9942184	5155569	2489	2522	172	100411	-995
31315	9942145	5155563	2492	2553	172	100420	-1003
31316	9942107	5155557	2437	2575	172	100413	-997
31317	9942070	5155551	2440	2408	171	100410	-994
31318	9942033	5155545	2352	2556	170	100415	-999
31319	9941999	5155539	2350	2577	170	100417	-1000
31320	9941965	5155534	2496	2600	169	100421	-1004
31321	9941930	5155528	2502	2477	169	100426	-1008
31322	9941895	5155522	2442	2640	168	100423	-1005
31323	9941855	5155517	2446	2680	168	100424	-1006
31324	9941816	5155511	2603	2700	167	100421	-1004
31325	9941777	5155505	2594	2721	166	100425	-1007
31326	9941737	5155499	2731	2557	166	100427	-1009
31327	9941696	5155493	2581	2721	165	100429	-1010
31328	9941654	5155487	2550	2593	164	100430	-1011
31329	9941611	5155481	2518	2752	164	100436	-1016
31330	9941568	5155475	2609	2622	163	100440	-1020
31331	9941526	5155469	2622	2791	163	100438	-1018
31332	9941482	5155462	2566	2663	162	100443	-1022
31333	9941434	5155456	2768	2863	161	100442	-1021
31334	9941383	5155450	2709	2881	161	100449	-1027
31335	9941331	5155443	2642	2696	160	100456	-1033
31336	9941278	5155437	2531	2835	159	100456	-1033
31337	9941230	5155431	2524	2818	159	100457	-1034
31338	9941184	5155425	2576	2800	158	100457	-1034
31339	9941139	5155419	2657	2790	158	100461	-1037
31340	9941095	5155413	2496	2599	157	100469	-1044
31341	9941053	5155407	2483	2726	156	100468	-1043
31342	9941011	5155400	2553	2732	156	100468	-1043
31343	9940968	5155394	2566	2628	156	100477	-1051
31344	9940923	5155387	2407	2436	155	100475	-1049
31345	9940875	5155382	2305	2184	155	100479	-1053
31346	9940825	5155376	2026	1998	154	100477	-1051
31347	9940775	5155371	1616	1806	154	100480	-1053
31348	9940728	5155366	1420	1286	154	100484	-1057
31349	9940687	5155362	1226	1291	154	100487	-1059
31350	9940654	5155359	935	1291	154	100484	-1057
31351	9940627	5155357	583	1291	154	100490	-1062
31352	9940608	5155355	364	0	153	100487	-1059
31353	9940596	5155354	11	0	153	100489	-1061
31354	9940588	5155353	18	0	153	100489	-1061
31355	9940584	5155353	24	0	153	100494	-1065
31356	9940584	5155354	24	0	153	100481	-1054
31357	9940583	5155354	22	0	153	100483	-1056
31358	9940583	5155355	0	136	153	100483	-1056
31359	9940583	5155356	0	835	152	100484	-1057
31360	9940582	5155356	53	835	152	100488	-1060
31361	9940578	5155355	1305	662	152	100490	-1062
31362	9940566	5155353	1451	1243	152	100492	-1063
31363	9940548	5155350	1724	1710	152	100490	-1062
31364	9940521	5155346	1805	2008	151	100486	-1058
31365	9940491	5155342	1911	2126	151	100488	-1060
31366	9940456	5155337	2159	2202	151	100494	-1065
31367	9940417	5155331	2096	2280	150	100482	-1055
31368	9940372	5155326	1990	2370	150	100489	-1061
31369	9940327	5155320	2076	2445	149	100492	-1063
