#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31045	9941930	5155839	46	0	218	101345	-1779
31046	9941934	5155839	37	0	218	101341	-1775
31047	9941939	5155839	29	0	218	101340	-1775
31048	9941946	5155839	5	0	218	101344	-1778
31049	9941954	5155838	33	0	218	101340	-1775
31050	9941960	5155837	38	0	218	101345	-1779
31051	9941965	5155837	46	0	218	101341	-1775
31052	9941969	5155837	51	199	218	101338	-1773
31053	9941968	5155836	109	478	218	101342	-1776
31054	9941966	5155836	87	478	218	101341	-1775
31055	9941965	5155836	75	483	218	101344	-1778
31056	9941966	5155836	57	483	218	101341	-1775
31057	9941973	5155836	114	483	217	101342	-1776
31058	9941978	5155836	64	11139	217	101341	-1775
31059	9941984	5155836	96	11139	217	101344	-1778
31060	9941990	5155836	153	5759	217	101337	-1772
31061	9941999	5155836	238	3273	217	101340	-1775
31062	9942015	5155835	381	2142	216	101345	-1779
31063	9942036	5155835	546	1357	216	101339	-1774
31064	9942062	5155835	961	1350	216	101334	-1770
31065	9942099	5155834	1301	1407	215	101344	-1778
31066	9942145	5155834	1342	1407	215	101342	-1776
31067	9942197	5155833	1111	957	215	101339	-1774
31068	9942255	5155833	1385	1448	214	101338	-1773
31069	9942315	5155833	1514	1426	214	101341	-1775
31070	9942378	5155833	1601	1590	213	101337	-1772
31071	9942445	5155833	1559	1599	212	101335	-1770
31072	9942512	5155833	1516	1058	212	101343	-1777
31073	9942578	5155832	1481	1312	212	101336	-1771
31074	9942642	5155832	1177	1023	211	101336	-1771
31075	9942699	5155832	1107	1345	211	101333	-1769
31076	9942751	5155834	1083	1315	211	101335	-1770
31077	9942794	5155835	1216	1200	210	101332	-1768
31078	9942831	5155837	977	1097	210	101330	-1766
31079	9942865	5155839	850	1065	209	101337	-1772
31080	9942899	5155839	709	1112	209	101336	-1771
31081	9942930	5155840	887	1315	208	101340	-1775
31082	9942958	5155839	933	1529	208	101331	-1767
31083	9942979	5155837	1263	1671	207	101335	-1770
31084	9942986	5155836	1011	1736	206	101338	-1773
31085	9942987	5155833	1138	1767	206	101337	-1772
31086	9942984	5155831	1126	1555	205	101336	-1771
31087	9942982	5155828	1129	1655	204	101325	-1762
31088	9942982	5155826	1120	1565	204	101332	-1768
31089	9942987	5155823	1094	1486	204	101331	-1767
31090	9942995	5155819	1350	1079	203	101319	-1757
31091	9943005	5155815	1427	1200	203	101322	-1760
31092	9943019	5155811	1420	1210	202	101315	-1754
31093	9943040	5155808	1303	1248	202	101309	-1749
31094	9943069	5155804	1268	1238	201	101315	-1754
31095	9943110	5155802	1257	1201	201	101316	-1755
31096	9943158	5155800	1277	1152	200	101301	-1742
31097	9943209	5155799	1137	1084	200	101311	-1750
31098	9943257	5155798	1016	915	200	101307	-1747
31099	9943297	5155797	629	915	200	101316	-1755
31100	9943331	5155797	305	915	199	101314	-1753
31101	9943356	5155797	161	0	199	101309	-1749
31102	9943372	5155796	74	0	199	101311	-1750
31103	9943382	5155796	98	0	199	101312	-1751
31104	9943388	5155796	53	0	199	101311	-1750
31105	9943394	5155796	59	0	199	101306	-1746
31106	9943396	5155795	44	0	198	101306	-1746
31107	9943398	5155796	122	0	198	101301	-1742
31108	9943399	5155796	135	0	198	101305	-1745
31109	9943401	5155796	88	0	198	101306	-1746
31110	9943405	5155796	109	0	198	101303	-1744
31111	9943409	5155797	40	0	198	101308	-1748
31112	9943412	5155797	59	0	198	101312	-1751
31113	9943413	5155797	51	0	197	101305	-1745
31114	9943416	5155797	75	0	197	101309	-1749
31115	9943417	5155797	40	0	197	101310	-1750
31116	9943419	5155797	68	0	197	101309	-1749
31117	9943419	5155797	29	318	197	101306	-1746
31118	9943419	5155797	140	318	197	101306	-1746
31119	9943420	5155797	277	355	197	101305	-1745
31120	9943425	5155797	475	718	197	101305	-1745
31121	9943439	5155796	650	961	196	101298	-1739
31122	9943462	5155796	937	1134	196	101304	-1745
31123	9943497	5155795	1179	1442	195	101299	-1740
31124	9943543	5155794	1344	1534	194	101296	-1738
31125	9943596	5155793	1351	1637	194	101298	-1739
31126	9943652	5155792	1424	1703	194	101302	-1743
31127	9943706	5155790	1166	1779	194	101301	-1742
31128	9943745	5155787	1268	1652	193	101305	-1745
31129	9943766	5155784	1422	1933	193	101302	-1743
31130	9943743	5155778	1790	1818	193	101305	-1745
31131	9943704	5155771	1974	2136	193	101303	-1744
31132	9943657	5155764	1976	2229	193	101300	-1741
31133	9943608	5155757	2096	2268	192	101302	-1743
31134	9943578	5155752	2109	2011	191	101298	-1739
