#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31656	9941922	5155843	48	0	209	100825	-1343
31657	9941913	5155843	68	0	209	100828	-1346
31658	9941903	5155843	68	0	209	100828	-1346
31659	9941892	5155843	59	0	209	100835	-1352
31660	9941879	5155843	55	0	209	100832	-1349
31661	9941870	5155843	55	0	209	100821	-1340
31662	9941862	5155843	66	0	209	100823	-1342
31663	9941858	5155843	120	0	208	100833	-1350
31664	9941854	5155843	148	217	208	100827	-1345
31665	9941852	5155842	135	217	208	100828	-1346
31666	9941849	5155842	114	310	208	100826	-1344
31667	9941845	5155841	124	395	208	100827	-1345
31668	9941849	5155840	212	395	208	100822	-1341
31669	9941856	5155839	246	395	208	100824	-1342
31670	9941864	5155839	188	333	208	100826	-1344
31671	9941876	5155838	187	333	208	100827	-1345
31672	9941887	5155838	177	423	208	100831	-1348
31673	9941898	5155837	250	535	207	100820	-1339
31674	9941916	5155837	422	734	207	100828	-1346
31675	9941936	5155836	568	1117	207	100833	-1350
31676	9941963	5155836	814	921	207	100833	-1350
31677	9941997	5155836	1168	1238	206	100829	-1347
31678	9942038	5155835	1326	1291	206	100827	-1345
31679	9942088	5155835	1448	1540	205	100826	-1344
31680	9942144	5155835	1448	1614	205	100818	-1337
31681	9942205	5155835	1453	1665	205	100829	-1347
31682	9942272	5155835	1674	1658	204	100833	-1350
31683	9942340	5155834	1674	1683	204	100820	-1339
31684	9942410	5155834	1494	1700	203	100818	-1337
31685	9942478	5155833	1524	1699	203	100826	-1344
31686	9942544	5155833	1527	1624	203	100828	-1346
31687	9942606	5155833	1285	1489	203	100820	-1339
31688	9942661	5155834	857	1385	202	100820	-1339
31689	9942708	5155834	974	971	202	100814	-1334
31690	9942750	5155835	905	995	202	100811	-1332
31691	9942783	5155836	440	1128	201	100815	-1335
31692	9942810	5155837	379	1212	200	100811	-1332
31693	9942830	5155836	818	1409	199	100809	-1330
31694	9942843	5155835	1174	1586	199	100817	-1337
31695	9942854	5155831	1396	1669	199	100816	-1336
31696	9942862	5155828	1601	1464	198	100827	-1345
