#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31703	9941896	5155834	59	0	211	100809	-1330
31704	9941895	5155834	64	0	211	100808	-1329
31705	9941895	5155834	57	0	211	100807	-1328
31706	9941891	5155834	38	0	211	100805	-1327
31707	9941886	5155834	22	0	211	100802	-1324
31708	9941880	5155835	16	0	211	100809	-1330
31709	9941874	5155836	27	0	211	100811	-1332
31710	9941871	5155837	61	0	211	100814	-1334
31711	9941872	5155837	57	0	211	100809	-1330
31712	9941874	5155838	16	0	211	100813	-1333
31713	9941876	5155838	18	0	211	100807	-1328
31714	9941876	5155838	18	0	211	100809	-1330
31715	9941879	5155838	29	0	210	100802	-1324
31716	9941886	5155839	27	0	210	100806	-1327
31717	9941887	5155839	20	0	210	100805	-1327
31718	9941887	5155839	20	0	210	100808	-1329
31719	9941888	5155839	24	371	210	100809	-1330
31720	9941890	5155839	38	371	210	100806	-1327
31721	9941891	5155839	42	371	210	100804	-1326
31722	9941892	5155839	124	0	210	100809	-1330
31723	9941893	5155839	127	305	210	100805	-1327
31724	9941893	5155839	127	305	210	100804	-1326
31725	9941894	5155839	105	343	210	100806	-1327
31726	9941900	5155838	161	343	210	100812	-1332
31727	9941907	5155838	153	343	209	100805	-1327
31728	9941916	5155837	142	0	209	100806	-1327
31729	9941922	5155837	137	0	209	100811	-1332
31730	9941926	5155837	100	0	209	100807	-1328
31731	9941928	5155837	70	146	209	100812	-1332
31732	9941930	5155838	127	460	209	100806	-1327
31733	9941939	5155837	424	995	209	100810	-1331
31734	9941960	5155837	744	1167	209	100805	-1327
31735	9941994	5155836	1220	1332	209	100807	-1328
31736	9942037	5155835	1238	1411	208	100804	-1326
31737	9942084	5155835	1229	1411	208	100799	-1321
31738	9942135	5155835	1285	892	208	100810	-1331
31739	9942187	5155835	1364	1185	208	100799	-1321
31740	9942241	5155835	1168	962	208	100805	-1327
31741	9942293	5155835	1072	847	208	100806	-1327
31742	9942342	5155836	1138	1290	207	100802	-1324
31743	9942392	5155836	1338	1022	207	100798	-1321
31744	9942444	5155836	1505	1283	207	100803	-1325
31745	9942499	5155836	1413	892	207	100804	-1326
31746	9942556	5155837	1307	1147	207	100801	-1323
31747	9942612	5155837	1250	1337	206	100800	-1322
31748	9942663	5155838	948	1314	206	100799	-1321
31749	9942709	5155839	788	1188	206	100806	-1327
31750	9942747	5155840	729	1128	206	100805	-1327
31751	9942782	5155841	948	1094	206	100799	-1321
31752	9942813	5155842	374	1139	206	100803	-1325
31753	9942839	5155843	222	1339	205	100807	-1328
31754	9942857	5155843	1085	1525	205	100806	-1327
31755	9942866	5155842	1361	1675	205	100799	-1321
31756	9942870	5155839	1487	1736	204	100803	-1325
31757	9942871	5155836	1583	1510	204	100801	-1323
31758	9942875	5155832	1535	1666	204	100797	-1320
31759	9942877	5155827	1648	1645	203	100794	-1317
31760	9942877	5155823	1557	1197	203	100797	-1320
31761	9942879	5155818	1107	1285	203	100797	-1320
31762	9942878	5155814	1164	1359	202	100792	-1316
31763	9942880	5155810	1168	1328	202	100788	-1312
31764	9942890	5155807	1198	1305	202	100783	-1308
31765	9942909	5155804	1103	1287	201	100781	-1306
31766	9942938	5155801	976	1285	201	100786	-1311
31767	9942976	5155799	1087	1285	201	100777	-1303
31768	9943016	5155798	1068	1036	201	100772	-1299
31769	9943061	5155797	1005	984	201	100782	-1307
31770	9943105	5155796	833	984	200	100779	-1305
31771	9943143	5155795	318	984	200	100778	-1304
31772	9943172	5155795	33	0	200	100779	-1305
31773	9943191	5155794	20	860	200	100778	-1304
31774	9943202	5155794	275	751	200	100775	-1301
31775	9943211	5155793	385	840	199	100773	-1300
31776	9943226	5155793	553	1123	199	100771	-1298
31777	9943251	5155792	1040	1237	199	100770	-1297
31778	9943286	5155791	1387	1290	199	100769	-1296
31779	9943335	5155790	1472	1508	198	100769	-1296
31780	9943390	5155790	1503	1601	198	100765	-1293
31781	9943450	5155788	1492	1664	198	100770	-1297
31782	9943502	5155786	1576	1668	197	100768	-1295
31783	9943541	5155784	1274	1624	197	100773	-1300
31784	9943560	5155781	1301	1592	197	100763	-1291
31785	9943560	5155777	1492	1743	196	100771	-1298
31786	9943548	5155774	1827	1998	196	100766	-1294
31787	9943532	5155769	1818	2155	195	100769	-1296
31788	9943510	5155765	2007	2157	195	100767	-1295
31789	9943485	5155760	2000	1913	194	100774	-1301
31790	9943453	5155755	2053	2226	194	100771	-1298
31791	9943417	5155750	2113	2336	193	100776	-1302
31792	9943378	5155744	2157	2376	193	100770	-1297
31793	9943340	5155739	2259	2415	192	100775	-1301
31794	9943304	5155733	2335	2422	191	100772	-1299
31795	9943272	5155728	2331	2439	191	100773	-1300
31796	9943242	5155722	2039	2448	190	100771	-1298
31797	9943213	5155716	2098	2449	189	100771	-1298
31798	9943186	5155710	2181	2151	189	100768	-1295
31799	9943156	5155704	2063	2284	188	100774	-1301
31800	9943124	5155698	2205	2479	188	100781	-1306
31801	9943090	5155693	2374	2483	187	100777	-1303
31802	9943051	5155687	2361	2461	187	100779	-1305
31803	9943010	5155682	2370	2476	186	100774	-1301
31804	9942966	5155677	2361	2485	185	100769	-1296
31805	9942922	5155671	2350	2501	185	100775	-1301
31806	9942879	5155665	2339	2384	184	100769	-1296
31807	9942836	5155660	2477	2527	183	100776	-1302
31808	9942792	5155654	2439	2543	182	100774	-1301
31809	9942745	5155648	2365	2539	182	100778	-1304
31810	9942699	5155642	2326	2225	181	100778	-1304
31811	9942658	5155636	2244	2336	180	100771	-1298
31812	9942619	5155631	2248	2488	179	100778	-1304
31813	9942583	5155625	2381	2486	178	100774	-1301
31814	9942546	5155619	2379	2484	178	100776	-1302
31815	9942505	5155614	2411	2487	177	100775	-1301
31816	9942460	5155607	2503	2184	177	100780	-1306
31817	9942413	5155601	2470	2307	176	100784	-1309
31818	9942366	5155595	2531	2489	176	100780	-1306
31819	9942321	5155589	2522	2512	175	100776	-1302
31820	9942278	5155583	2509	2504	174	100779	-1305
31821	9942238	5155577	2476	2529	174	100781	-1306
31822	9942196	5155570	2507	2390	173	100780	-1306
31823	9942154	5155564	2513	2546	172	100783	-1308
31824	9942154	5155564	2513	2590	171	100782	-1307
31825	9942114	5155558	2520	2585	171	100785	-1310
31826	9942073	5155551	2198	2438	170	100790	-1314
31827	9942038	5155546	1905	2595	169	100781	-1306
31828	9941983	5155535	2196	2625	168	100787	-1311
31829	9941983	5155535	2196	2501	168	100794	-1317
31830	9941928	5155525	2277	2659	167	100781	-1306
31831	9941928	5155525	2277	2685	167	100792	-1316
31832	9941893	5155519	2483	2523	166	100795	-1318
31833	9941853	5155513	2589	2696	165	100803	-1325
31834	9941810	5155507	2576	2720	164	100797	-1320
31835	9941765	5155501	2515	2722	164	100804	-1326
31836	9941723	5155494	2613	2737	163	100806	-1327
31837	9941681	5155488	2550	2745	162	100804	-1326
31838	9941641	5155482	2763	2759	162	100802	-1324
31839	9941601	5155476	2476	2769	160	100808	-1329
31840	9941559	5155470	2427	2788	160	100810	-1331
31841	9941517	5155464	2435	2809	159	100818	-1337
31842	9941475	5155458	2381	2841	158	100821	-1340
31843	9941432	5155452	2381	2862	158	100819	-1338
31844	9941389	5155446	2440	2677	157	100825	-1343
31845	9941343	5155440	2489	2807	156	100829	-1347
31846	9941299	5155433	2605	2805	156	100835	-1352
31847	9941257	5155427	2533	2795	155	100839	-1355
31848	9941216	5155421	2694	2794	154	100845	-1360
31849	9941176	5155414	2626	2769	154	100835	-1352
31850	9941138	5155408	2696	2753	153	100846	-1361
31851	9941100	5155401	2765	2692	152	100850	-1364
31852	9941020	5155388	2237	2593	152	100850	-1364
31853	9941020	5155388	2237	2477	152	100850	-1364
31854	9940976	5155382	2240	2074	152	100857	-1370
31855	9940931	5155377	2140	1814	152	100857	-1370
31856	9940887	5155372	1948	1627	151	100859	-1372
31857	9940847	5155367	1789	1466	151	100859	-1372
31858	9940808	5155362	1548	1118	151	100862	-1374
31859	9940763	5155358	1083	1118	151	100862	-1374
31860	9940714	5155354	557	1118	151	100864	-1376
31861	9940714	5155354	557	0	151	100866	-1378
31862	9940667	5155352	9	0	151	100859	-1372
31863	9940625	5155350	3	0	151	100861	-1374
31864	9940600	5155349	3	0	151	100857	-1370
31865	9940589	5155349	1	0	151	100864	-1376
31866	9940584	5155349	0	0	151	100860	-1373
31867	9940584	5155349	0	0	151	100863	-1375
31868	9940585	5155349	0	0	151	100863	-1375
31869	9940585	5155349	0	0	150	100862	-1374
31870	9940585	5155349	0	0	150	100858	-1371
31871	9940585	5155349	0	0	150	100861	-1374
31872	9940585	5155349	0	0	150	100862	-1374
31873	9940585	5155349	0	0	150	100861	-1374
31874	9940585	5155349	0	0	150	100857	-1370
31875	9940585	5155349	0	0	150	100858	-1371
31876	9940585	5155349	0	147	150	100863	-1375
31877	9940585	5155349	0	885	150	100866	-1378
31878	9940579	5155348	970	1343	149	100857	-1370
31879	9940579	5155348	970	1633	149	100863	-1375
31880	9940568	5155346	1420	1812	149	100871	-1382
31881	9940523	5155340	1763	1697	148	100864	-1376
