#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
56924	9930333	5152780	29	0	201	31317	3791
56925	9930331	5152780	35	0	201	31316	3792
56926	9930331	5152780	29	0	201	31310	3797
56927	9930331	5152780	31	0	201	31308	3799
56928	9930333	5152780	50	0	201	31291	3813
56929	9930335	5152780	5	0	201	31303	3803
56930	9930335	5152780	101	0	201	31296	3809
56931	9930337	5152780	62	0	200	31294	3811
56932	9930333	5152780	105	0	200	31287	3817
56933	9930338	5152780	105	0	200	31294	3811
56934	9930342	5152780	75	0	200	31284	3820
56935	9930344	5152780	212	0	200	31281	3822
56936	9930351	5152781	68	0	200	31285	3819
56937	9930364	5152780	70	0	200	31286	3818
56938	9930375	5152780	38	0	200	31293	3812
56939	9930382	5152780	83	0	200	31285	3819
56940	9930378	5152780	25	248	200	31285	3819
56941	9930378	5152780	46	248	200	31281	3822
56942	9930380	5152780	181	248	200	31290	3814
56943	9930388	5152780	142	0	200	31282	3821
56944	9930393	5152780	94	0	200	31288	3816
56945	9930395	5152780	61	0	200	31284	3820
56946	9930388	5152781	55	0	200	31283	3820
56947	9930395	5152780	25	0	200	31295	3810
56948	9930395	5152780	27	0	200	31275	3827
56949	9930395	5152780	35	0	200	31285	3819
56950	9930395	5152780	25	0	200	31293	3812
56951	9930395	5152780	24	0	200	31275	3827
56952	9930393	5152780	20	0	200	31285	3819
56953	9930393	5152780	40	0	200	31285	3819
56954	9930391	5152780	20	0	200	31285	3819
56955	9930390	5152780	20	0	200	31299	3807
56956	9930390	5152780	20	0	200	31287	3817
56957	9930390	5152780	12	211	200	31276	3826
56958	9930390	5152780	33	211	200	31279	3824
56959	9930390	5152780	61	340	200	31285	3819
56960	9930391	5152780	181	340	200	31284	3820
56961	9930384	5152780	179	340	200	31284	3820
56962	9930373	5152778	346	325	200	31285	3819
56963	9930360	5152777	359	566	200	31290	3814
56964	9930348	5152776	481	505	200	31281	3822
56965	9930335	5152772	631	671	200	31286	3818
56966	9930324	5152770	740	791	200	31286	3818
56967	9930317	5152768	875	877	200	31278	3825
