#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	 Tacho [1e2 km/h]
56883	9930385	5152781	38	0
56884	9930385	5152781	38	0
56885	9930382	5152781	24	0
56886	9930382	5152781	27	0
56887	9930380	5152782	38	0
56888	9930378	5152782	37	0
56889	9930378	5152782	37	0
56890	9930377	5152782	11	0
56891	9930377	5152782	16	0
56892	9930377	5152782	24	0
56893	9930375	5152782	1	0
56894	9930375	5152782	1	0
56895	9930377	5152782	103	0
56896	9930382	5152781	40	0
56897	9930382	5152781	31	256
56898	9930382	5152781	85	256
56899	9930382	5152781	85	256
56900	9930375	5152781	75	0
56901	9930371	5152781	68	0
56902	9930370	5152781	75	0
56903	9930367	5152781	55	0
56904	9930367	5152781	55	478
56905	9930364	5152782	51	510
56906	9930362	5152782	188	633
56907	9930364	5152780	240	797
56908	9930360	5152779	364	933
56909	9930360	5152779	364	1104
56910	9930344	5152774	631	1174
56911	9930338	5152772	642	892
56912	9930330	5152771	677	1168
56913	9930325	5152768	848	1193
56914	9930325	5152768	848	1155
56915	9930308	5152763	1026	1166
56916	9930298	5152760	1113	1189
56917	9930288	5152757	1079	1194
56918	9930277	5152754	1042	1236
56919	9930277	5152754	1042	1244
56920	9930257	5152748	1101	1238
56921	9930248	5152746	1107	1226
56922	9930240	5152741	1207	1278
56923	9930235	5152738	1314	1296
56924	9930235	5152738	1314	959
56925	9930232	5152732	974	1058
56926	9930225	5152730	807	1060
56927	9930222	5152728	794	1010
56928	9930219	5152725	874	974
56929	9930219	5152725	874	954
56930	9930232	5152718	1000	1094
56931	9930259	5152715	1100	1168
56932	9930291	5152714	1190	1218
56933	9930338	5152713	1263	1234
56934	9930338	5152713	1263	933
56935	9930433	5152711	1146	1170
56936	9930485	5152710	1179	1222
56937	9930533	5152710	1168	1322
56938	9930585	5152709	1320	1022
56939	9930585	5152709	1320	1405
56940	9930694	5152707	1411	1529
56941	9930750	5152707	1307	1529
56942	9930808	5152707	1416	1529
56943	9930872	5152707	1422	916
56944	9930872	5152707	1422	1227
56945	9930995	5152707	1305	1221
56946	9931042	5152707	1059	1126
56947	9931078	5152708	977	1097
56948	9931115	5152709	931	1106
56949	9931115	5152709	931	1090
56950	9931195	5152709	883	1045
56951	9931235	5152709	872	995
56952	9931273	5152709	863	962
56953	9931307	5152709	792	928
56954	9931307	5152709	792	709
56955	9931383	5152711	979	862
56956	9931423	5152712	988	963
56957	9931461	5152713	1083	1084
56958	9931499	5152714	1016	1077
56959	9931499	5152714	1016	1042
56960	9931559	5152717	796	975
56961	9931583	5152717	711	972
56962	9931593	5152718	501	1006
56963	9931597	5152719	498	1045
56964	9931597	5152719	498	1128
56965	9931593	5152724	907	1230
56966	9931602	5152726	898	1266
56967	9931600	5152729	1068	1295
56968	9931595	5152731	1122	1274
56969	9931595	5152731	1122	1108
56970	9931585	5152737	1046	1051
56971	9931580	5152739	892	1049
56972	9931577	5152741	700	1165
56973	9931573	5152744	750	1225
56974	9931573	5152744	750	1293
56975	9931572	5152749	1083	1346
56976	9931572	5152752	1142	1377
56977	9931572	5152755	1276	1377
56978	9931583	5152758	1364	866
56979	9931583	5152758	1364	1302
56980	9931599	5152764	1255	1027
56981	9931603	5152767	1251	1405
56982	9931606	5152771	1344	1531
56983	9931610	5152775	1283	1608
56984	9931610	5152775	1283	1636
56985	9931619	5152783	1587	1639
56986	9931623	5152786	1464	1643
56987	9931626	5152790	1338	1638
56988	9931640	5152794	1448	1629
56989	9931640	5152794	1448	1602
56990	9931662	5152802	1361	1578
56991	9931675	5152806	1450	1048
56992	9931686	5152810	1392	917
56993	9931700	5152813	1333	1415
56994	9931700	5152813	1333	1533
56995	9931740	5152821	1453	1525
56996	9931760	5152825	1294	1496
56997	9931780	5152829	1503	1499
56998	9931802	5152833	1353	1108
56999	9931802	5152833	1353	1311
