#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	 Tacho [1e2 km/h]
57000	9931855	5152839	1324	1413
57001	9931887	5152842	1389	1469
57002	9931922	5152845	1381	1488
57003	9931953	5152848	1390	1120
57004	9931953	5152848	1390	1298
57005	9932016	5152854	1381	1219
57006	9932049	5152857	1344	1377
57007	9932080	5152860	1350	1053
57008	9932110	5152863	1390	1244
57009	9932110	5152863	1390	1394
57010	9932167	5152869	1379	1468
57011	9932199	5152872	1420	1505
57012	9932237	5152875	1587	1539
57013	9932275	5152879	1489	1140
57014	9932275	5152879	1489	1345
57015	9932333	5152884	1309	1345
57016	9932359	5152887	1207	1159
57017	9932382	5152890	1088	1191
57018	9932402	5152892	983	1078
57019	9932402	5152892	983	1022
57020	9932457	5152897	981	1041
57021	9932502	5152899	1018	1167
57022	9932542	5152900	966	1211
57023	9932585	5152900	1113	1421
57024	9932585	5152900	1113	1091
57025	9932680	5152898	1285	1362
57026	9932729	5152897	1196	1353
57027	9932772	5152895	1088	1341
57028	9932823	5152895	1127	1343
57029	9932823	5152895	1127	1360
57030	9932910	5152893	1057	1406
57031	9932965	5152891	1170	1417
57032	9933013	5152889	1231	1459
57033	9933064	5152889	1122	1102
57034	9933064	5152889	1122	1102
57035	9933167	5152888	1172	1140
57036	9933220	5152888	1314	1313
57037	9933278	5152889	1346	1030
57038	9933342	5152890	1409	887
57039	9933342	5152890	1409	1322
57040	9933465	5152892	1372	1026
57041	9933525	5152892	1363	1274
57042	9933577	5152892	1179	1268
57043	9933632	5152892	1142	1208
57044	9933632	5152892	1142	1152
57045	9933728	5152891	937	1092
57046	9933770	5152891	905	1042
57047	9933812	5152891	824	980
57048	9933850	5152891	700	862
57049	9933850	5152891	700	746
57050	9933895	5152891	268	746
57051	9933910	5152891	151	746
57052	9933918	5152891	107	0
57053	9933927	5152891	75	0
57054	9933927	5152891	75	0
57055	9933931	5152891	64	0
57056	9933935	5152891	68	0
57057	9933935	5152891	96	0
57058	9933935	5152890	66	0
57059	9933935	5152890	66	0
57060	9933933	5152890	0	0
57061	9933933	5152890	0	0
57062	9933933	5152890	31	0
57063	9933935	5152890	35	0
57064	9933935	5152890	35	0
57065	9933937	5152891	0	0
57066	9933937	5152891	0	0
57067	9933937	5152891	0	0
57068	9933938	5152891	70	0
57069	9933938	5152891	70	0
57070	9933938	5152891	74	0
57071	9933937	5152891	0	0
57072	9933937	5152891	0	0
57075	9933942	5152891	311	2257
57076	9933955	5152891	648	1415
57077	9933998	5152892	1037	1270
57078	9934050	5152894	1116	1209
57079	9934050	5152894	1116	1206
57080	9934154	5152895	1277	1301
57081	9934215	5152895	1320	1023
57082	9934277	5152895	1474	1504
57083	9934345	5152895	1614	1595
57084	9934345	5152895	1614	1595
57085	9934473	5152896	1479	1291
57086	9934538	5152897	1444	1419
57087	9934602	5152897	1446	1288
57088	9934664	5152896	1389	1428
57089	9934664	5152896	1389	1444
57090	9934782	5152897	1348	1444
57091	9934845	5152897	1420	910
57092	9934908	5152898	1470	1393
57093	9934975	5152898	1524	1518
57094	9934975	5152898	1524	1135
57095	9935102	5152899	1342	1363
57096	9935159	5152899	1331	1420
57097	9935215	5152899	1344	1427
57098	9935271	5152900	1337	1078
57099	9935271	5152900	1337	1278
57100	9935380	5152900	1340	1245
57101	9935438	5152900	1370	1402
57102	9935498	5152900	1361	1438
57103	9935554	5152900	1329	1451
57104	9935554	5152900	1329	1083
57105	9935660	5152900	1276	1334
57106	9935712	5152900	1272	1419
57107	9935763	5152899	1261	1390
57108	9935815	5152899	1081	1389
57109	9935815	5152899	1081	1376
57110	9935918	5152900	1300	1389
57111	9935968	5152901	1240	1427
57112	9936018	5152902	1283	1427
57113	9936077	5152903	1351	960
57114	9936077	5152903	1351	1305
57115	9936203	5152904	1472	1494
57116	9936268	5152905	1464	1537
57117	9936330	5152906	1507	1532
57118	9936385	5152907	1509	1589
57119	9936385	5152907	1509	1644
57120	9936505	5152909	1520	1724
57121	9936566	5152910	1583	1781
57122	9936633	5152910	1666	1787
57123	9936700	5152911	1653	1816
57124	9936700	5152911	1653	1815
57125	9936840	5152912	1629	1736
57126	9936912	5152912	1570	1280
57127	9936975	5152913	1490	1031
57128	9937034	5152913	1389	1358
57129	9937034	5152913	1389	1362
57130	9937152	5152913	1272	1363
57131	9937210	5152912	1416	1414
57132	9937270	5152912	1294	1066
57133	9937330	5152912	1353	1325
57134	9937330	5152912	1353	1376
57135	9937440	5152912	1340	1394
57136	9937493	5152913	1311	1059
57137	9937550	5152913	1379	1336
57138	9937609	5152913	1416	1375
57139	9937609	5152913	1416	1345
57140	9937723	5152913	1170	1309
57141	9937775	5152913	1166	1244
57142	9937821	5152913	1155	1246
57143	9937866	5152913	1142	1325
57144	9937866	5152913	1142	1304
57145	9937953	5152915	972	960
57146	9937995	5152915	974	1074
57147	9938033	5152916	972	836
57148	9938082	5152916	1055	1020
57149	9938082	5152916	1055	806
57150	9938171	5152916	1024	987
57151	9938227	5152916	992	1105
57152	9938272	5152916	872	1109
57153	9938302	5152916	692	1083
57154	9938302	5152916	692	1073
57155	9938363	5152917	859	1089
57156	9938401	5152917	907	1061
57157	9938435	5152917	814	986
57158	9938457	5152919	724	986
57159	9938457	5152919	724	986
57160	9938492	5152920	20	0
57161	9938498	5152919	9	0
57162	9938505	5152918	1	0
57163	9938510	5152917	0	0
57164	9938510	5152917	0	0
57165	9938508	5152917	3	0
57166	9938508	5152917	5	0
57167	9938505	5152917	3	0
57168	9938505	5152917	1	0
57169	9938505	5152917	1	0
57170	9938505	5152917	3	0
57171	9938505	5152917	3	0
57172	9938507	5152917	3	0
57173	9938508	5152917	7	0
57174	9938508	5152917	7	0
57175	9938515	5152916	9	0
57176	9938517	5152916	9	0
57177	9938519	5152916	5	0
57178	9938519	5152916	5	175
57179	9938519	5152916	5	347
57180	9938530	5152916	457	582
57181	9938555	5152917	561	775
57182	9938590	5152918	918	1035
57183	9938633	5152920	1031	1032
57184	9938633	5152920	1031	996
57185	9938717	5152920	901	973
57186	9938760	5152920	901	975
57187	9938800	5152920	866	932
57188	9938837	5152920	674	815
57189	9938837	5152920	674	669
57190	9938889	5152920	333	669
57191	9938902	5152920	138	669
57192	9938905	5152920	127	0
57193	9938907	5152920	83	0
57194	9938907	5152920	83	0
57195	9938909	5152920	70	0
57196	9938910	5152920	59	0
57197	9938910	5152920	9	0
57198	9938910	5152920	0	0
57199	9938910	5152920	0	0
57200	9938910	5152920	18	0
57201	9938910	5152920	35	0
57202	9938910	5152920	59	0
57203	9938910	5152920	79	0
57204	9938910	5152920	79	0
57205	9938911	5152919	83	0
57206	9938911	5152919	62	0
57207	9938911	5152919	225	0
57208	9938903	5152919	468	0
57209	9938895	5152919	475	183
57210	9938891	5152919	475	183
57211	9938882	5152921	561	675
57212	9938875	5152922	759	858
57213	9938867	5152924	850	998
57214	9938860	5152926	931	1199
57215	9938851	5152930	1203	1370
57216	9938840	5152933	1263	1056
57217	9938822	5152936	1346	1436
57218	9938797	5152940	1474	1587
57219	9938778	5152944	1405	1640
57220	9938760	5152947	1226	1658
57221	9938740	5152950	1222	1681
57222	9938722	5152954	1596	1678
57223	9938705	5152958	1605	1692
57224	9938685	5152962	1668	1758
57225	9938668	5152966	1598	1800
57226	9938653	5152970	1426	1847
57227	9938637	5152974	1692	1891
57228	9938622	5152979	1722	1904
57229	9938608	5152984	1840	1914
57230	9938600	5152989	1916	1944
57231	9938590	5152994	1870	1965
57232	9938573	5152999	2005	1992
57233	9938555	5153004	2002	2010
57234	9938555	5153004	2002	1742
57235	9938533	5153015	2126	1863
57236	9938540	5153021	2168	1848
57237	9938539	5153025	1852	1499
57238	9938532	5153029	1689	1624
57239	9938532	5153029	1689	1734
57240	9938488	5153035	1394	1794
57241	9938481	5153038	1188	1822
57242	9938477	5153041	1238	1621
57243	9938467	5153044	1235	1806
57244	9938467	5153044	1235	1849
57245	9938441	5153050	1433	1578
57246	9938428	5153053	1389	1724
57247	9938388	5153056	1346	1734
57248	9938372	5153060	1259	1756
57249	9938372	5153060	1259	1791
57250	9938338	5153066	1207	1788
57251	9938323	5153069	1066	1782
57252	9938310	5153072	990	1771
57253	9938292	5153076	1109	1754
57254	9938292	5153076	1109	1506
57255	9938242	5153085	1385	1655
57256	9938222	5153090	1390	1691
57257	9938203	5153093	1240	1717
57258	9938178	5153097	1153	1721
57259	9938178	5153097	1153	1720
57260	9938142	5153102	981	1710
57261	9938124	5153106	1126	1700
57262	9938105	5153109	1163	1681
57263	9938079	5153113	1379	1653
57264	9938079	5153113	1379	1622
57265	9938026	5153120	1392	1560
57266	9937997	5153124	1355	1560
57267	9937968	5153128	1351	1035
57268	9937946	5153132	1172	893
57269	9937946	5153132	1172	822
57270	9937905	5153139	1037	782
57271	9937890	5153142	1033	1252
57272	9937872	5153146	1087	1363
57273	9937847	5153149	1014	1395
57274	9937847	5153149	1014	1033
57275	9937868	5153157	781	1116
57276	9937886	5153161	831	1011
57277	9937905	5153164	961	1022
57278	9937932	5153167	1105	1081
57279	9937932	5153167	1105	1203
57280	9938012	5153171	1418	1342
57281	9938062	5153174	1596	1470
57282	9938113	5153176	1607	1542
57283	9938165	5153178	1609	1547
57284	9938165	5153178	1609	1539
57285	9938269	5153182	1403	1157
57286	9938316	5153184	1344	1333
57287	9938370	5153185	1479	1691
57288	9938430	5153187	1633	1739
57289	9938430	5153187	1633	1660
57290	9938548	5153190	1450	1660
57291	9938599	5153191	1288	1022
57292	9938646	5153192	1300	1453
57293	9938695	5153194	1392	1583
57294	9938695	5153194	1392	1627
57295	9938813	5153197	1498	1616
57296	9938875	5153198	1427	1608
57297	9938931	5153199	1437	1625
57298	9938983	5153200	1383	1628
57299	9938983	5153200	1383	1645
57300	9939096	5153204	1455	1679
57301	9939160	5153205	1468	1525
57302	9939215	5153206	1439	1745
57303	9939263	5153211	1546	1833
57304	9939263	5153211	1546	1906
57305	9939363	5153218	1694	1913
57306	9939413	5153221	1687	1929
57307	9939464	5153225	1796	1677
57308	9939508	5153229	1533	1834
57309	9939508	5153229	1533	1899
57310	9939635	5153235	1879	1917
57311	9939682	5153238	1826	1940
57312	9939736	5153241	1759	1711
57313	9939790	5153245	1748	1906
57314	9939790	5153245	1748	1725
57315	9939932	5153248	1779	1934
57316	9939992	5153251	1790	1740
57317	9940046	5153254	1781	1966
57318	9940106	5153258	1770	1991
57319	9940106	5153258	1770	1981
57320	9940233	5153264	1829	1953
57321	9940287	5153267	1783	1946
57322	9940345	5153270	1783	1725
57323	9940403	5153274	1876	1930
57324	9940403	5153274	1876	1742
57325	9940508	5153284	1822	1982
57326	9940560	5153288	1889	2010
57327	9940614	5153292	1989	1965
57328	9940668	5153296	2020	1938
57329	9940668	5153296	2020	1870
57330	9940785	5153303	1879	1792
57331	9940830	5153307	1601	1493
57332	9940858	5153310	1377	1608
57333	9940880	5153312	1207	1651
57334	9940880	5153312	1207	1659
57335	9940940	5153316	1351	1645
57336	9940991	5153319	1651	1653
57337	9941051	5153321	1650	1697
57338	9941112	5153324	1703	1741
57339	9941112	5153324	1703	1803
57340	9941241	5153329	1798	1812
57341	9941307	5153331	1703	1829
57342	9941372	5153333	1759	1846
57343	9941440	5153335	1766	1857
57344	9941440	5153335	1766	1864
57345	9941568	5153338	1674	1888
57346	9941625	5153340	1540	1911
57347	9941682	5153344	1742	1891
57348	9941742	5153347	1813	1906
57349	9941742	5153347	1813	1883
57350	9941867	5153352	1835	1893
57351	9941928	5153355	1764	1858
57352	9941985	5153358	1777	1794
57353	9942037	5153361	1724	1757
57354	9942037	5153361	1724	1752
57355	9942108	5153370	1742	1609
57356	9942133	5153374	1787	1866
57357	9942152	5153379	1902	2042
57358	9942162	5153384	1900	2126
57359	9942162	5153384	1900	2160
57360	9942175	5153394	1983	2176
57361	9942175	5153394	1983	2189
57362	9942179	5153399	2029	2197
57363	9942180	5153405	2098	2183
57364	9942179	5153410	2127	2144
57365	9942168	5153421	2103	2089
57366	9942160	5153426	2040	2061
57367	9942155	5153432	2039	2030
57368	9942155	5153437	1918	1986
57369	9942155	5153437	1918	1904
57370	9942159	5153446	1470	1342
57371	9942162	5153449	1153	1177
57372	9942165	5153451	805	926
57373	9942165	5153452	533	823
57374	9942165	5153452	533	928
57375	9942166	5153457	924	1214
57376	9942162	5153461	1120	1357
57377	9942140	5153464	1405	1534
57378	9942119	5153468	1409	1480
57379	9942119	5153468	1409	1541
57380	9942095	5153474	1187	1754
57381	9942083	5153478	1389	1830
57382	9942077	5153481	1377	2003
57383	9942068	5153485	1605	2047
57384	9942068	5153485	1605	2059
57385	9942048	5153495	1840	2113
57386	9942043	5153500	1885	1927
57387	9942045	5153504	1842	2270
57388	9942050	5153510	1957	2382
57389	9942050	5153510	1957	2406
57390	9942053	5153521	2100	2395
57391	9942050	5153527	2159	2406
57392	9942045	5153533	2168	2447
57393	9942039	5153539	2333	2323
57394	9942039	5153539	2333	2381
57395	9942019	5153552	2396	2288
57396	9942005	5153558	2129	1828
57397	9941990	5153563	1872	1915
57398	9941970	5153567	1742	1699
57399	9941970	5153567	1742	1833
57400	9941950	5153577	1859	1848
57401	9941935	5153582	1794	1831
57402	9941930	5153586	1629	1947
57403	9941927	5153591	1866	2160
57404	9941927	5153591	1866	2224
57405	9941907	5153602	2114	2224
57406	9941885	5153607	2027	2173
57407	9941865	5153613	2259	2115
57408	9941855	5153620	2270	1993
57409	9941855	5153620	2270	1875
57410	9941865	5153630	1768	1699
57411	9941870	5153634	1548	1688
57412	9941867	5153639	1496	1879
57413	9941868	5153642	1348	1984
57414	9941868	5153642	1348	2085
57415	9941872	5153649	1550	2103
57416	9941870	5153653	1557	2110
57417	9941865	5153658	1689	2016
57418	9941865	5153663	1689	1660
57419	9941865	5153663	1689	1762
57420	9941867	5153671	1598	1751
57421	9941867	5153675	1657	1317
57422	9941874	5153679	1574	1437
57423	9941894	5153684	1687	1677
57424	9941894	5153684	1687	1756
57425	9941978	5153699	1687	1797
57426	9942019	5153706	1739	1576
57427	9942055	5153711	1827	1718
57428	9942090	5153715	1646	1690
57429	9942090	5153715	1646	1655
57430	9942153	5153723	1564	1643
57431	9942185	5153727	1577	1679
57432	9942215	5153731	1581	1750
57433	9942258	5153736	1894	1797
57434	9942258	5153736	1894	1846
57435	9942333	5153744	1716	1851
57436	9942367	5153747	1657	1602
57437	9942402	5153752	1801	1738
57438	9942436	5153755	1790	1752
57439	9942436	5153755	1790	1744
57440	9942483	5153763	1659	1708
57441	9942502	5153767	1526	1703
57442	9942513	5153771	1518	1699
57443	9942520	5153774	1411	1523
57444	9942520	5153774	1411	1703
57445	9942533	5153781	1353	1724
57446	9942540	5153784	1294	1739
57447	9942538	5153787	1288	1746
57448	9942533	5153791	1298	1761
57449	9942533	5153791	1298	1764
57450	9942529	5153798	1396	1749
57451	9942525	5153803	1446	1725
57452	9942523	5153807	1398	1690
57453	9942522	5153810	1146	1665
57454	9942522	5153810	1146	1734
57455	9942512	5153817	1394	1724
57456	9942505	5153822	1513	1753
57457	9942500	5153826	1513	1766
57458	9942493	5153830	1542	1806
57459	9942493	5153830	1542	1836
57460	9942483	5153840	1729	1792
57461	9942480	5153845	1759	1719
57462	9942476	5153851	1764	1682
57463	9942470	5153855	1605	1667
57464	9942470	5153855	1605	1668
57465	9942462	5153864	1466	1667
57466	9942460	5153868	1644	1657
57467	9942456	5153872	1601	1643
57468	9942455	5153877	1514	1473
57469	9942455	5153877	1514	1661
57470	9942456	5153884	1394	1688
57471	9942451	5153887	1263	1682
57472	9942445	5153891	1270	1349
57473	9942433	5153895	1368	1434
57474	9942433	5153895	1368	1416
57475	9942411	5153903	1387	1391
57476	9942404	5153906	1185	1392
57477	9942397	5153909	1181	1407
57478	9942390	5153912	1338	1426
57479	9942390	5153912	1338	1409
57480	9942385	5153919	1311	1401
57481	9942380	5153922	1251	1035
57482	9942380	5153925	1005	1196
57483	9942377	5153928	948	1208
57484	9942377	5153928	948	1178
57485	9942357	5153932	935	1184
57486	9942350	5153935	976	1186
57487	9942353	5153938	964	1053
57488	9942355	5153940	637	818
57489	9942355	5153940	637	818
57490	9942358	5153943	20	818
57491	9942362	5153944	11	0
57492	9942365	5153945	5	0
57493	9942367	5153945	3	0
57494	9942367	5153945	3	0
57495	9942367	5153945	0	0
57496	9942367	5153945	0	0
57497	9942369	5153945	1	0
57498	9942369	5153945	1	0
57499	9942369	5153945	1	0
57500	9942367	5153945	1	0
57501	9942367	5153945	3	0
57502	9942367	5153946	3	0
57503	9942369	5153946	0	0
57504	9942369	5153946	0	0
57505	9942367	5153946	1	0
57506	9942369	5153946	0	0
57507	9942369	5153946	0	0
57508	9942369	5153946	0	0
57509	9942369	5153946	0	0
57510	9942369	5153946	0	0
57511	9942369	5153946	0	0
57512	9942369	5153946	0	0
57513	9942369	5153946	0	0
57514	9942369	5153946	0	0
57515	9942369	5153946	0	0
57516	9942367	5153946	96	0
57517	9942364	5153946	0	0
57518	9942364	5153946	0	0
57519	9942364	5153946	0	0
57520	9942364	5153946	0	0
57521	9942364	5153946	0	0
57522	9942364	5153946	0	0
57523	9942364	5153946	0	0
57524	9942364	5153946	0	0
57525	9942364	5153946	0	0
57526	9942364	5153946	11	0
57527	9942365	5153946	38	0
57528	9942364	5153946	48	0
57529	9942364	5153946	48	0
57530	9942362	5153946	61	0
57531	9942360	5153946	0	0
57532	9942360	5153946	0	0
57533	9942360	5153946	0	0
57534	9942360	5153946	0	295
57535	9942360	5153946	0	575
57536	9942360	5153946	0	777
57537	9942357	5153946	337	917
57538	9942358	5153948	400	1013
57539	9942358	5153948	400	1027
57540	9942370	5153953	637	1051
57541	9942369	5153955	981	1197
57542	9942362	5153958	1127	1360
57543	9942342	5153961	1118	1531
57544	9942342	5153961	1118	1661
57545	9942278	5153969	1642	1737
57546	9942255	5153973	1505	1804
57547	9942237	5153977	1679	1624
57548	9942220	5153982	1905	1877
57549	9942220	5153982	1905	1990
57550	9942172	5153991	1955	2059
57551	9942146	5153997	2016	2094
57552	9942120	5154002	2029	2120
57553	9942088	5154006	1835	2126
57554	9942088	5154006	1835	2159
57555	9942035	5154016	2016	2121
57556	9942014	5154021	2074	2105
57557	9941992	5154025	1805	2111
57558	9941965	5154032	2040	2103
57559	9941965	5154032	2040	2108
57560	9941935	5154043	2068	2108
57561	9941916	5154048	1996	2128
57562	9941900	5154052	1837	2136
57563	9941875	5154058	2124	2133
57564	9941875	5154058	2124	2080
57565	9941835	5154069	1968	2062
57566	9941823	5154073	1790	2051
57567	9941823	5154073	1790	2026
57568	9941792	5154083	1905	1977
57569	9941792	5154083	1905	1935
57570	9941749	5154093	1789	1903
57571	9941749	5154093	1789	1919
57572	9941725	5154097	1716	1918
57573	9941682	5154106	1737	1614
57574	9941682	5154106	1737	1781
57575	9941640	5154115	1753	1797
57576	9941622	5154119	1651	1815
57577	9941604	5154123	1690	1849
57578	9941604	5154123	1690	1892
57579	9941588	5154128	1733	1879
57580	9941560	5154136	1674	1843
57581	9941542	5154140	1539	1825
57582	9941526	5154144	1483	1851
57583	9941508	5154147	1490	1924
57584	9941508	5154147	1490	1966
57585	9941512	5154157	1666	1945
57586	9941502	5154162	1668	1935
57587	9941490	5154166	1559	1621
57588	9941479	5154170	1546	1745
57589	9941479	5154170	1546	1728
57590	9941450	5154180	1570	1698
57591	9941437	5154184	1564	1707
57592	9941423	5154188	1507	1777
57593	9941412	5154192	1472	1848
57594	9941412	5154192	1472	1899
57595	9941377	5154199	1272	1687
57596	9941355	5154203	1377	1878
57597	9941330	5154209	1763	1955
57598	9941310	5154213	1711	1958
57599	9941310	5154213	1711	1977
57600	9941300	5154225	1796	1978
57601	9941278	5154229	1805	1666
57602	9941258	5154233	1611	1796
57603	9941243	5154239	1700	1841
57604	9941243	5154239	1700	1902
57605	9941210	5154247	1511	1940
57606	9941190	5154252	1576	1911
57607	9941167	5154256	1755	1943
57608	9941136	5154262	1755	1971
57609	9941136	5154262	1755	1779
57610	9941093	5154270	1700	2067
57611	9941080	5154275	1711	2124
57612	9941060	5154279	1707	1879
57613	9941038	5154284	1698	2109
57614	9941038	5154284	1698	2117
57615	9940982	5154293	1759	2091
57616	9940982	5154293	1759	2034
57617	9940950	5154297	1746	2004
57618	9940920	5154302	1653	2049
57619	9940891	5154307	1748	2082
57620	9940868	5154311	1805	1836
57621	9940817	5154321	1811	2045
57622	9940797	5154325	1724	2080
57623	9940772	5154329	1539	2098
57624	9940772	5154329	1539	2067
57625	9940750	5154340	1701	2033
57626	9940737	5154344	1598	2058
57627	9940723	5154348	1470	2068
57628	9940732	5154353	1539	2093
57629	9940732	5154353	1539	2098
57630	9940725	5154357	1372	2075
57631	9940697	5154367	1744	2081
57632	9940681	5154371	1694	2053
57633	9940667	5154377	1772	1791
57634	9940667	5154377	1772	1971
57635	9940652	5154382	1763	1858
57636	9940607	5154394	1720	1818
57637	9940607	5154394	1720	1812
57638	9940588	5154400	1618	1745
57639	9940572	5154404	1511	1673
57640	9940547	5154414	1338	1567
57641	9940541	5154419	1290	1490
57642	9940534	5154424	1287	1364
57643	9940516	5154428	1276	1302
57644	9940516	5154428	1276	1157
57645	9940485	5154435	859	1056
57646	9940472	5154438	814	950
57647	9940460	5154440	766	833
57648	9940452	5154443	624	833
57649	9940452	5154443	624	833
57650	9940442	5154446	438	553
57651	9940440	5154448	368	553
57652	9940442	5154449	429	527
57653	9940442	5154451	548	527
57654	9940442	5154451	548	466
57655	9940447	5154453	18	466
57656	9940450	5154454	5	466
57657	9940452	5154454	7	0
57658	9940452	5154455	3	0
57659	9940452	5154455	3	0
57660	9940452	5154455	0	0
57661	9940452	5154455	0	0
57662	9940452	5154455	0	0
57663	9940452	5154455	0	0
57664	9940452	5154455	0	0
57665	9940452	5154455	0	0
57666	9940452	5154455	0	0
57667	9940452	5154455	0	0
57668	9940452	5154455	0	0
57669	9940452	5154455	0	0
57670	9940452	5154455	0	0
57671	9940452	5154455	0	0
57672	9940452	5154455	0	0
57673	9940450	5154455	0	0
57674	9940450	5154455	0	0
57675	9940450	5154455	0	0
57676	9940450	5154455	0	0
57677	9940450	5154455	0	0
57678	9940450	5154455	0	137
57679	9940450	5154455	0	732
57680	9940450	5154455	0	887
57681	9940449	5154456	411	970
57682	9940445	5154459	527	1038
57683	9940438	5154460	572	1066
57684	9940438	5154460	572	1174
57685	9940412	5154465	970	1247
57686	9940393	5154468	1181	1429
57687	9940375	5154473	1494	1570
57688	9940356	5154477	1505	1667
57689	9940356	5154477	1505	1727
57690	9940313	5154487	1585	1722
57691	9940313	5154487	1585	1677
57692	9940275	5154495	1546	1625
57693	9940260	5154499	1461	1611
57694	9940260	5154499	1461	1622
57695	9940244	5154503	1448	1626
57696	9940205	5154511	1603	1622
57697	9940182	5154515	1557	1636
57698	9940164	5154519	1570	1657
57699	9940164	5154519	1570	1645
57700	9940113	5154527	1490	1647
57701	9940090	5154530	1585	1676
57702	9940070	5154534	1544	1768
57703	9940052	5154539	1750	1830
57704	9940052	5154539	1750	1840
57705	9940019	5154548	1703	1810
57706	9940000	5154553	1716	1779
57707	9939983	5154558	1803	1771
57708	9939965	5154562	1744	1790
57709	9939965	5154562	1744	1779
57710	9939925	5154571	1703	1513
57711	9939907	5154575	1642	1628
57712	9939890	5154580	1653	1650
57713	9939870	5154584	1639	1666
57714	9939870	5154584	1639	1685
57715	9939835	5154592	1614	1677
57716	9939828	5154597	1609	1703
57717	9939816	5154601	1594	1694
57718	9939805	5154605	1698	1717
57719	9939805	5154605	1698	1762
57720	9939770	5154614	1739	1788
57721	9939754	5154619	1690	1782
57722	9939742	5154623	1696	1760
57723	9939734	5154628	1690	1744
57724	9939734	5154628	1690	1731
57725	9939707	5154636	1590	1720
57726	9939692	5154640	1605	1718
57727	9939673	5154643	1509	1717
57728	9939658	5154647	1461	1670
57729	9939658	5154647	1461	1644
