#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	 Tacho [1e2 km/h]
50548	9934715	5152997	496	0
50549	9934695	5152997	461	0
50550	9934682	5152995	553	0
50551	9934670	5152993	909	0
50552	9934662	5152991	1261	0
50553	9934664	5152988	1459	0
50554	9934665	5152984	1496	0
50555	9934667	5152981	1490	0
50556	9934675	5152977	1587	0
50557	9934675	5152977	1587	0
50558	9934695	5152969	1651	0
50559	9934702	5152965	1620	0
50560	9934707	5152961	1713	0
50561	9934715	5152957	1657	0
50562	9934729	5152953	1511	0
50563	9934738	5152949	1470	0
50564	9934740	5152945	1472	0
50565	9934738	5152941	1263	0
50566	9934730	5152937	927	0
50567	9934730	5152935	592	0
50568	9934727	5152932	18	0
50569	9934722	5152931	20	0
50570	9934723	5152930	16	0
50571	9934723	5152928	5	0
50572	9934725	5152928	16	0
50573	9934729	5152928	33	0
50574	9934735	5152927	57	0
50575	9934755	5152924	857	0
50576	9934775	5152921	1020	0
50577	9934798	5152918	1218	0
50578	9934818	5152915	1257	0
50579	9934835	5152912	1092	0
50580	9934822	5152909	1203	0
50581	9934790	5152907	1155	0
50582	9934749	5152905	1272	0
50583	9934702	5152904	1348	0
50584	9934649	5152902	1409	0
50585	9934598	5152901	1300	0
50586	9934553	5152900	1127	0
50587	9934515	5152900	885	0
50588	9934485	5152899	729	0
50589	9934460	5152898	620	0
50590	9934439	5152897	475	0
50591	9934422	5152897	18	0
50592	9934419	5152897	12	0
50593	9934405	5152897	18	0
50594	9934373	5152897	57	0
50595	9934335	5152897	1168	0
50596	9934280	5152898	1416	0
50597	9934220	5152898	1501	0
50598	9934165	5152898	1490	0
50599	9934103	5152898	1479	0
50600	9934043	5152897	1546	0
50601	9933980	5152897	1651	0
50602	9933917	5152896	1651	0
50603	9933855	5152896	1663	0
50604	9933790	5152896	1705	0
50605	9933725	5152897	1696	0
50606	9933659	5152897	1683	0
50607	9933583	5152896	1753	0
50608	9933510	5152896	1759	0
50609	9933442	5152896	1800	0
50610	9933373	5152897	1722	0
50611	9933309	5152896	1711	0
50612	9933244	5152896	1777	0
50613	9933175	5152897	1820	0
50614	9933105	5152899	1809	0
50615	9933039	5152900	1803	0
50616	9932977	5152902	1613	0
50617	9932910	5152904	1666	0
50618	9932843	5152906	1668	0
50619	9932783	5152908	1663	0
50620	9932725	5152910	1589	0
50621	9932670	5152912	1520	0
50622	9932611	5152913	1490	0
50623	9932560	5152915	1394	0
50624	9932507	5152916	1311	0
50625	9932460	5152915	1224	0
50626	9932422	5152913	1151	0
50627	9932397	5152910	1159	0
50628	9932372	5152907	1238	0
50629	9932350	5152904	1203	0
50630	9932320	5152902	1251	0
50631	9932297	5152899	1194	0
50632	9932270	5152896	1203	0
50633	9932239	5152894	1281	0
50634	9932207	5152890	1329	0
50635	9932174	5152888	1316	0
50636	9932141	5152885	1259	0
50637	9932107	5152882	1257	0
50638	9932063	5152879	1400	0
50639	9932023	5152876	1392	0
50640	9931995	5152873	1338	0
50641	9931995	5152873	1338	0
50642	0	0	0	0
50643	9931896	5152865	1138	0
50644	9931876	5152861	1187	0
50645	9931857	5152857	1253	0
50646	9931835	5152852	1366	0
50647	9931835	5152852	1366	0
50648	9931793	5152845	1327	0
50649	9931768	5152842	1322	0
50650	9931746	5152838	1316	0
50651	9931726	5152834	1403	0
50652	9931710	5152831	1418	0
50653	9931692	5152828	1214	0
50654	9931679	5152825	1218	0
50655	9931668	5152821	1326	0
50656	9931659	5152816	1331	0
50657	9931648	5152812	1396	0
50658	9931640	5152808	1322	0
50659	9931628	5152805	1198	0
50660	9931613	5152802	1231	0
50661	9931600	5152798	1320	0
50662	9931590	5152794	1381	0
50663	9931586	5152791	1266	0
50664	9931573	5152787	1426	0
50665	9931555	5152783	1500	0
50666	9931541	5152779	1301	0
50667	9931537	5152776	1235	0
50668	9931535	5152773	1229	0
50669	9931539	5152770	1027	0
50670	9931537	5152768	1074	0
50671	9931535	5152765	888	0
50672	9931541	5152763	883	0
50673	9931546	5152761	1020	0
50674	9931557	5152758	1101	0
50675	9931561	5152755	1024	0
50676	9931570	5152752	994	0
50677	9931583	5152751	709	0
50678	9931592	5152749	794	0
50679	9931600	5152748	714	0
50680	9931599	5152746	609	0
50681	9931600	5152745	538	0
50682	9931597	5152744	29	0
50683	9931592	5152744	29	0
50684	9931583	5152743	59	0
50685	9931572	5152740	850	0
50686	9931552	5152737	1026	0
50687	9931499	5152736	1213	0
50688	9931457	5152734	1129	0
50689	9931415	5152734	1001	0
50690	9931363	5152733	1138	0
50691	9931247	5152730	1492	0
50692	9931247	5152730	1492	0
50693	9931185	5152730	1583	0
50694	9931124	5152730	1548	0
50695	9931058	5152731	1598	0
50696	9930982	5152731	1879	0
50697	9930902	5152732	1964	0
50698	9930821	5152732	1857	0
50699	9930745	5152733	1779	0
50700	9930674	5152733	1707	0
50701	9930674	5152733	1707	0
50702	9930533	5152735	1598	0
50703	9930471	5152736	1407	0
50704	9930413	5152736	1326	0
50705	9930357	5152736	1264	0
50706	9930308	5152738	1324	0
50707	9930266	5152739	1226	0
50708	9930233	5152740	1005	0
50709	9930233	5152743	1103	0
50710	9930233	5152744	1022	0
50711	9930240	5152746	1018	0
50712	9930250	5152747	1007	0
50713	9930265	5152749	1061	0
50714	9930279	5152751	1018	0
50715	9930290	5152753	866	0
50716	9930297	5152755	861	0
50717	9930306	5152757	920	0
50718	9930306	5152757	920	0
50719	9930331	5152761	1014	0
50720	9930338	5152763	1077	0
50721	9930344	5152765	1035	0
50722	9930340	5152767	816	0
50723	9930335	5152770	953	0
50724	9930333	5152772	735	0
50725	9930335	5152773	620	0
50726	9930331	5152774	631	0
50727	9930344	5152775	568	0
50728	9930365	5152776	694	0
50729	9930382	5152776	359	0
50730	9930393	5152777	351	0
50731	9930400	5152778	250	0
50732	9930402	5152780	259	0
50733	9930407	5152780	25	0
50734	9930407	5152780	25	0
50735	9930415	5152780	14	0
50736	9930415	5152780	0	0
50737	9930415	5152780	0	0
50738	9930415	5152780	0	0
50739	9930417	5152780	0	0
50740	9930417	5152780	0	0
50741	9930417	5152780	0	0
50742	9930417	5152780	0	0
50743	9930415	5152780	3	0
50744	9930415	5152780	3	0
50745	9930413	5152780	5	0
50746	9930415	5152780	12	0
50747	9930415	5152781	12	0
50748	9930415	5152781	12	0
50749	9930415	5152781	11	0
50750	9930415	5152782	11	0
50751	9930413	5152782	9	0
50752	9930413	5152782	5	0
50753	9930411	5152783	5	0
50754	9930411	5152783	1	0
50755	9930411	5152783	5	0
50756	9930411	5152783	5	0
50757	9930411	5152782	3	0
